model,scope,coin,fold,train_start,test_end,macro_f1,weighted_f1,accuracy,f1_not_bubble,f1_creation,f1_collapse
XGBoost,per_coin,ETH,12,2021-05-01,2022-08-01,0.11560044893378225,0.1993119601815254,0.15217391304347827,0.2727272727272727,0.0,0.07407407407407407
XGBoost,per_coin,ETH,13,2021-08-01,2022-11-01,0.08253968253968254,0.24761904761904763,0.14130434782608695,0.24761904761904763,0.0,0.0
XGBoost,per_coin,ETH,14,2021-11-01,2023-02-01,0.49171270718232046,0.9834254143646409,0.967391304347826,0.9834254143646409,0.0,0.0
XGBoost,per_coin,ETH,21,2023-08-01,2024-11-01,1.0,1.0,1.0,1.0,0.0,0.0
XGBoost,per_coin,SOL,1,2020-11-11,2022-02-11,0.09406392694063927,0.08954734961286481,0.10869565217391304,0.0821917808219178,0.0,0.2
XGBoost,per_coin,SOL,2,2021-02-11,2022-05-11,0.010416666666666666,0.00035112359550561797,0.011235955056179775,0.0,0.0,0.03125
XGBoost,per_coin,SOL,3,2021-05-11,2022-08-11,0.2552212389380531,0.3674913428241631,0.45652173913043476,0.04,0.0,0.7256637168141593
XGBoost,per_coin,SOL,4,2021-08-11,2022-11-11,0.7444444444444445,0.9782608695652174,0.9782608695652174,0.9888888888888889,0.0,0.5
XGBoost,per_coin,SOL,5,2021-11-11,2023-02-11,0.27294534835210676,0.4141556021113348,0.5434782608695652,0.6911764705882353,0.0,0.1276595744680851
XGBoost,per_coin,SOL,6,2022-02-11,2023-05-11,1.0,1.0,1.0,1.0,0.0,0.0
XGBoost,per_coin,SOL,7,2022-05-11,2023-08-11,0.7582764056752496,0.9572185793598209,0.9456521739130435,0.9710982658959537,0.0,0.5454545454545454
XGBoost,per_coin,SOL,8,2022-08-11,2023-11-11,0.4523809523809524,0.7474120082815735,0.8260869565217391,0.9047619047619048,0.0,0.0
XGBoost,per_coin,SOL,9,2022-11-11,2024-02-11,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,per_coin,SOL,10,2023-02-11,2024-05-11,0.44419306184012064,0.601206636500754,0.6777777777777778,0.5384615384615384,0.7941176470588235,0.0
XGBoost,per_coin,SOL,11,2023-05-11,2024-08-11,0.1461187214611872,0.08100059559261465,0.17391304347826086,0.0,0.4383561643835616,0.0
XGBoost,per_coin,SOL,12,2023-08-11,2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,global,ALL,3,2019-02-01,2020-05-01,0.47368421052631576,0.8757894736842106,0.9,0.9473684210526315,0.0,0.0
XGBoost,global,ALL,4,2019-05-01,2020-08-01,0.48081264108352145,0.8905486308764354,0.9260869565217391,0.9616252821670429,0.0,0.0
XGBoost,global,ALL,5,2019-08-01,2020-11-01,0.6289218312793952,0.8874704607021066,0.915129151291513,0.9548133595284872,0.30303030303030304,0.0
XGBoost,global,ALL,6,2019-11-01,2021-02-01,0.7305395967106004,0.7706795610868667,0.7880434782608695,0.8550185873605948,0.6060606060606061,0.0
