model,scope,macro_f1,weighted_f1,accuracy,f1_not_bubble,f1_creation,f1_collapse
XGBoost,global,0.443,0.6864,0.6916,0.7483,0.1367,0.0965
XGBoost,per_coin,0.4355,0.6113,0.6189,0.5505,0.1649,0.1247
