Coin,F1 Not Bubble,F1 Bubble Creat.,F1 Bubble Coll.,F1 Weighted
ADA,0.9083,0.0,0.0,0.7557
BNB,0.8504,0.0,0.0,0.6291
BTC,0.763,0.0,0.0,0.4706
DOGE,0.9009,0.0,0.0,0.7384
ETH,0.9357,0.0,0.0,0.8225
SOL,0.7235,0.0,0.0571,0.4145
